Species,Genome(s),Ploidy,Gene Pool,Name
Aegilops tauschii ,D ,Diploid,Primary,ENT336
Aegilops speltoides ,B or S ,Diploid,Primary,speltoides-10x_nuq
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa-10x_nuq
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2067-10x_nuq   
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2067-10x_nuq  
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2181 
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2181-10x_nuq
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2210-10x_all
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2211-10x_nuq
Aegilops ventricosa ,ND  ,Tetraploid,,ventricosa2234-10x_all  
Secale cereale ,R ,Diploid,,Lo7_nuq
Thinopyrum elongatum ,E  ,Diploid,,elongathum-10x_nuq
Thinopyrum ponticum ,E  ,Decaploid,,ponticumG37_nuq
Thinopyrum ponticum ,E  ,Decaploid,,ponticumG37_nuq  
Thinopyrum ponticum ,E  ,Decaploid,,ponticumG39-10x_nuq 
Triticum monococcum,Am,Diploid,,
Triticum timopheevii ,AG  ,Tetraploid,,timopheevi33255-10x_nuq
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii10558_nuq.jf  
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii10827-10x-all_all  
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii14352_nuq.jf  
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii15832_nuq.jf
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii17024-10x_all
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii22438_nuq.jf
Triticum timopheevii ,AG  ,Tetraploid,,timopheevii3708_nuq.jf  
Triticum turgidum ssp. dicoccoides ,AB  ,Tetraploid,,dicoccoides-10x_nuq
Triticum turgidum ssp. dicoccum ,AB  ,Tetraploid,,svevo-10x_nuq
Triticum urartu ,Au,Diploid,Primary,urartu-10x_nuq'
