Wild Relatives,Genome(s),Ploidy,Gene Pool
Aegilops tauschii ,D ,Diploid,Primary
Aegilops speltoides ,B or S ,Diploid,Primary
Aegilops ventricosa ,ND  ,Tetraploid,Secondary
Secale cereale ,R ,Diploid,Tertiary
Thinopyrum elongatum ,E  ,Diploid,Tertiary
Thinopyrum ponticum ,"E, S, J",Decaploid,Tertiary
Triticum timopheevii ,"A, G  ",Tetraploid,Secondary
Triticum turgidum ssp. dicoccoides ,"A, B  ",Tetraploid,Primary
Triticum turgidum ssp. durum ,"A, B  ",Tetraploid,Primary
Triticum urartu ,Au,Diploid,Primary
