seqid,source,type,start,end,score,strand,phase,attributes
1A,IWGSC,gene,13346605,13352572,.,+,.,ID=gene:TraesCS1A02G028500;biotype=protein_coding;gene_id=TraesCS1A02G028500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,13971819,13976728,.,+,.,ID=gene:TraesCS1A02G029900;biotype=protein_coding;description=Protein DETOXIFICATION [Source:UniProtKB/TrEMBL%3BAcc:W4ZYL7];gene_id=TraesCS1A02G029900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,53436194,53438543,.,+,.,ID=gene:TraesCS1A02G070500;biotype=protein_coding;gene_id=TraesCS1A02G070500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,257987100,257987438,.,+,.,ID=gene:TraesCS1A02G150300;biotype=protein_coding;gene_id=TraesCS1A02G150300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,259994475,259997900,.,-,.,ID=gene:TraesCS1A02G151400;biotype=protein_coding;description=Cyclin-dependent kinase inhibitor [Source:UniProtKB/TrEMBL%3BAcc:W4ZSJ3];gene_id=TraesCS1A02G151400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,284902269,284905891,.,-,.,ID=gene:TraesCS1A02G159200;biotype=protein_coding;gene_id=TraesCS1A02G159200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,286915745,286916579,.,+,.,ID=gene:TraesCS1A02G159700;biotype=protein_coding;gene_id=TraesCS1A02G159700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,338593153,338597314,.,-,.,ID=gene:TraesCS1A02G187600;biotype=protein_coding;gene_id=TraesCS1A02G187600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,363690449,363695876,.,+,.,ID=gene:TraesCS1A02G202700;biotype=protein_coding;gene_id=TraesCS1A02G202700;logic_name=iwgsc_high_conf
1A,IWGSC,gene,375014696,375016345,.,-,.,ID=gene:TraesCS1A02G212300;biotype=protein_coding;gene_id=TraesCS1A02G212300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,420379852,420382755,.,+,.,ID=gene:TraesCS1A02G237000;biotype=protein_coding;gene_id=TraesCS1A02G237000;logic_name=iwgsc_high_conf
1A,IWGSC,gene,486954012,486956900,.,-,.,ID=gene:TraesCS1A02G290300;biotype=protein_coding;gene_id=TraesCS1A02G290300;logic_name=iwgsc_high_conf
1A,IWGSC,gene,488619059,488620361,.,+,.,ID=gene:TraesCS1A02G293400;biotype=protein_coding;gene_id=TraesCS1A02G293400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,497083211,497084830,.,+,.,ID=gene:TraesCS1A02G303400;biotype=protein_coding;description=Patatin [Source:UniProtKB/TrEMBL%3BAcc:W4ZLU2];gene_id=TraesCS1A02G303400;logic_name=iwgsc_high_conf
1A,IWGSC,gene,517489914,517490718,.,-,.,ID=gene:TraesCS1A02G328500;biotype=protein_coding;gene_id=TraesCS1A02G328500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,534535188,534547681,.,-,.,ID=gene:TraesCS1A02G349600;biotype=protein_coding;gene_id=TraesCS1A02G349600;logic_name=iwgsc_high_conf
1A,IWGSC,gene,550109457,550111705,.,+,.,ID=gene:TraesCS1A02G375200;biotype=protein_coding;gene_id=TraesCS1A02G375200;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554061310,554063347,.,+,.,ID=gene:TraesCS1A02G383500;biotype=protein_coding;gene_id=TraesCS1A02G383500;logic_name=iwgsc_high_conf
1A,IWGSC,gene,554102512,554106196,.,+,.,ID=gene:TraesCS1A02G383900;biotype=protein_coding;gene_id=TraesCS1A02G383900;logic_name=iwgsc_high_conf
1A,IWGSC,gene,555512819,555513577,.,+,.,ID=gene:TraesCS1A02G385900;biotype=protein_coding;gene_id=TraesCS1A02G385900;logic_name=iwgsc_high_conf
